Pos,Bowlers_Name,Mat,Inns,Overs,Runs,Wkts,Bbi,Average,Economy,SR,4w,5w,Bowlers_Team
93,Murali Vijay,14,1,1.0,8,0,0/8,,8.0,,0,0,Kings XI Punjab
94,Suresh Raina,15,4,10.0,82,0,0/15,,8.2,,0,0,Gujarat Lions
95,Deepak Chahar,2,2,5.0,41,0,0/13,,8.2,,0,0,Rising Pune Supergiant
96,Yuvraj Singh,10,5,6.1,52,0,0/7,,8.43,,0,0,Sunrisers Hyderabad
97,Dale Steyn,1,1,2.0,17,0,0/17,,8.5,,0,0,Gujarat Lions
98,Glenn Maxwell,11,7,9.0,80,0,0/3,,8.88,,0,0,Kings XI Punjab
99,Swapnil Singh,1,1,3.0,29,0,0/29,,9.66,,0,0,Kings XI Punjab
100,Karn Sharma,5,5,16.2,171,0,0/24,,10.46,,0,0,Sunrisers Hyderabad
101,Sarabjit Ladda,1,1,2.0,21,0,0/21,,10.5,,0,0,Gujarat Lions
102,Pradeep Sangwan,2,2,4.0,49,0,0/21,,12.25,,0,0,Gujarat Lions
103,David Wiese,1,1,4.0,49,0,0/49,,12.25,,0,0,Royal Challengers Bangalore
104,Virat Kohli,16,1,1.0,13,0,0/13,,13.0,,0,0,Royal Challengers Bangalore
105,Kieron Pollard,13,4,6.0,81,0,0/11,,13.5,,0,0,Mumbai Indians
106,Jagadeesha Suchith,1,1,2.0,31,0,0/31,,15.5,,0,0,Mumbai Indians
107,Jaydev Unadkat,1,1,3.0,49,0,0/49,,16.33,,0,0,Kolkata Knight Riders
